"GameInstance","Platform","Test Name","Duration","Status"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should create BlackBox file on first snapshot","0.0626s","Fail"
	,,,,"Expected 'BlackBox file should exist after first snapshot' to be true. [C:\Users\Danie\Unreal Projects\2027\repo\Ouract_WispCPP7VR-Core\WispCPP7VR Core\WispCPP7VR Core\WispCPP7VR\Source\WispCPP7VRTests\Private\SaveSystem\SovereignBlackBoxTests.cpp(154)]"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should export logs to CSV using Exporter","0.0271s","Success"
	,,,,"LogTemp: BlackBoxExporter: Exported 1 entries to ../../../../../../Users/Danie/Unreal Projects/2027/repo/Ouract_WispCPP7VR-Core/WispCPP7VR Core/WispCPP7VR Core/WispCPP7VR/Saved/BlackBox/Exports/BB_22E5D15A4DD14420A5E59887C1E657C7_export.csv [log] "
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should have valid BlackBox subsystem in world","0.0202s","Success"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should have valid Replay subsystem in world","0.0167s","Success"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should ingest external telemetry entries","0.0203s","Fail"
	,,,,"Expected 'JSON should be valid after ingestion' to be true. [C:\Users\Danie\Unreal Projects\2027\repo\Ouract_WispCPP7VR-Core\WispCPP7VR Core\WispCPP7VR Core\WispCPP7VR\Source\WispCPP7VRTests\Private\SaveSystem\SovereignBlackBoxTests.cpp(365)]"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should record events in JSON","0.0224s","Success"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should record PSTA dimension health correctly","0.0229s","Success"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should record valid JSON structure","0.0185s","Fail"
	,,,,"Expected 'JSON should be parseable' to be true. [C:\Users\Danie\Unreal Projects\2027\repo\Ouract_WispCPP7VR-Core\WispCPP7VR Core\WispCPP7VR Core\WispCPP7VR\Source\WispCPP7VRTests\Private\SaveSystem\SovereignBlackBoxTests.cpp(171)]"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should register and tick via Heartbeat subsystem","0.0182s","Fail"
	,,,,"Expected 'Heartbeat should have triggered snapshot' to be true. [C:\Users\Danie\Unreal Projects\2027\repo\Ouract_WispCPP7VR-Core\WispCPP7VR Core\WispCPP7VR Core\WispCPP7VR\Source\WispCPP7VRTests\Private\SaveSystem\SovereignBlackBoxTests.cpp(421)]"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Should track file changes on snapshots","0.0180s","Fail"
	,,,,"Expected 'First snapshot should create file' to be true. [C:\Users\Danie\Unreal Projects\2027\repo\Ouract_WispCPP7VR-Core\WispCPP7VR Core\WispCPP7VR Core\WispCPP7VR\Source\WispCPP7VRTests\Private\SaveSystem\SovereignBlackBoxTests.cpp(339)]"
	,,,,"Expected 'Second snapshot should exist' to be true. [C:\Users\Danie\Unreal Projects\2027\repo\Ouract_WispCPP7VR-Core\WispCPP7VR Core\WispCPP7VR Core\WispCPP7VR\Source\WispCPP7VRTests\Private\SaveSystem\SovereignBlackBoxTests.cpp(340)]"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Creation","0.0083s","Success"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","EntityCount","0.0084s","Success"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","NullSafety","0.0076s","Success"
"D23E5CDA4BE7C1F28463E1A416F901B4","WindowsEditor","Serialization","0.0091s","Success"
